http://ourfamilypicnic.com; wfxnein ; webnein; (gaierror(-2, 'Name or service not known'),)
http://fellenberg.us; wfxja ; webnein; noError
http://highfivesforjesus.com; wfxnein ; webnein; (gaierror(-2, 'Name or service not known'),)
http://gellymed.de; wfxnein ; webja; noError
http://gedichtonline.de; wfxnein ; webja; noError
http://gellytech.com; wfxnein ; webnein; 404
http://dyeronline.co.uk; wfxja ; webnein; noError
http://frischenews.de; wfxnein ; webnein; (gaierror(-5, 'No address associated with hostname'),)
http://s89350431.onlinehome.us; wfxnein ; webnein; (gaierror(-2, 'Name or service not known'),)
http://selfpropulsion.com; wfxnein ; webnein; noError
http://brooklyn.crypticblaze.net; wfxnein ; webnein; 404
http://s89351348.onlinehome.us; wfxnein ; webnein; (gaierror(-2, 'Name or service not known'),)
http://houston-photobooth.com; wfxja ; webnein; noError
http://profshaw.com; wfxnein ; webnein; (gaierror(-2, 'Name or service not known'),)
http://nie-mehr-rasieren.de; wfxja ; webnein; noError
http://williams-information-technology.com; wfxja ; webnein; noError
